Name;Order;Portrait;Country;Flag;Gender;Flights;Total Flights;Total Flight Time (ddd:hh:mm)s
Valentina Tereshkova;14;https://cdn.sanity.io/images/2vtv415l/production/94a57017bc4a6e75018e56ce65d1ca3db1bb4a17-1077x1600.jpg;Soviet Union;☭;Woman;Vostok 6 (1963);1;002:22:50
Svetlana Savitskaya;118;https://cdn.sanity.io/images/2vtv415l/production/920aa016a40311be83af3e966057031ea2d74b73-1096x1600.jpg;Soviet Union;☭;Woman;Soyuz T-7 (1982), Soyuz T-12 (1984);2;019:17:07
Sally Ride;128;https://cdn.sanity.io/images/2vtv415l/production/f59afb45e826a33e4a61daa9c5624e23a18977ca-1024x1280.jpg;United States;🇺🇸;Woman;STS-7 (1983), STS-41-G (1984);2;014:07:47
Judith Resnik;154;https://cdn.sanity.io/images/2vtv415l/production/6d63a2c708d608783c16d112a65d7529b62ded50-2846x3558.jpg;United States;🇺🇸;Woman;STS-41-D (1984), STS-51-L (1986);2;006:00:57
Kathryn Sullivan;157;https://cdn.sanity.io/images/2vtv415l/production/bbde1d1fee43d2e66a871c668dc00b214e0a2214-4623x5832.jpg;United States;🇺🇸;Woman;STS-41-G (1984), STS-31 (1990), STS-45 (1992);3;022:04:49
Anna Fisher;162;https://cdn.sanity.io/images/2vtv415l/production/d1250f24b87f159f499ddcf7e4db1e3d0aeeb570-5451x6814.jpg?w=2400&fit=max;United States;🇺🇸;Woman;STS-51-A (1984);1;007:23:44
Margaret Seddon;168;https://cdn.sanity.io/images/2vtv415l/production/fadc0281823dc049aeaf1dff3fd2351df9e461c1-6571x8214.jpg;United States;🇺🇸;Woman;STS-51-D (1985), STS-40 (1991), STS-58 (1993);3;030:02:22
Shannon Lucid;178;https://cdn.sanity.io/images/2vtv415l/production/2deefcb7d1778cc6c6761d834f7ef2bf427a343e-3672x4726.jpg;United States;🇺🇸;Woman;STS-51-G (1985), STS-34 (1989), STS-43 (1991), STS-58 (1993), STS-76 (1996);5;223:02:52
Bonnie Dunbar;194;https://cdn.sanity.io/images/2vtv415l/production/8e8bb62db64d309a3b9134890ad6f8a6afc0270e-3269x4086.jpg;United States;🇺🇸;Woman;STS-61-A (1985), STS-32 (1990), STS-50 (1992), STS-71 (1995), STS-89 (1998);5;050:08:26
Mary Cleave;200;https://cdn.sanity.io/images/2vtv415l/production/17d005c8678ba06214fa347e831d489f9ce32a2f-1024x1280.jpg;United States;🇺🇸;Woman;STS-61-B (1985), STS-30 (1989);2;010:22:01
